method,rank,query_artist,query_song,query_genre,match_artist,match_song,match_genre,score
raw inner product,1,Michael Jackson,All The Things You Are,blues,Lauryn Hill,Interlude 5,r&b/soul,3570.0
raw inner product,2,Michael Jackson,All The Things You Are,blues,Twista,I'm A Winner (Amended Album Version),hip hop,2865.0
raw inner product,3,Michael Jackson,All The Things You Are,blues,Katy Perry,Hot N Cold (Innerpartysystem Main),electronic,2436.0
raw inner product,1,John Mayer,Vultures,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3132.0
raw inner product,2,John Mayer,Vultures,blues,Lauryn Hill,Interlude 5,r&b/soul,3012.0
raw inner product,3,John Mayer,Vultures,blues,R. Kelly,I Mean (I Don't Mean It),r&b/soul,2988.0
raw inner product,1,John Mayer,Out Of My Mind,blues,Lauryn Hill,Interlude 5,r&b/soul,4597.0
raw inner product,2,John Mayer,Out Of My Mind,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3722.0
raw inner product,3,John Mayer,Out Of My Mind,blues,Twista,I'm A Winner (Amended Album Version),hip hop,3671.0
raw inner product,1,R. Kelly,Hump Bounce,blues,Lauryn Hill,Interlude 5,r&b/soul,5557.0
raw inner product,2,R. Kelly,Hump Bounce,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,4567.0
raw inner product,3,R. Kelly,Hump Bounce,blues,Erykah Badu,I Want You,r&b/soul,4088.0
raw inner product,1,R. Kelly,Intro - The Sermon,blues,Lauryn Hill,Interlude 5,r&b/soul,6673.0
raw inner product,2,R. Kelly,Intro - The Sermon,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,5569.0
raw inner product,3,R. Kelly,Intro - The Sermon,blues,Twista,I'm A Winner (Amended Album Version),hip hop,5237.0
raw inner product,1,Michael Jackson,Call On Me,blues,Lauryn Hill,Interlude 5,r&b/soul,8789.0
raw inner product,2,Michael Jackson,Call On Me,blues,Twista,I'm A Winner (Amended Album Version),hip hop,7434.0
raw inner product,3,Michael Jackson,Call On Me,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,7016.0
raw inner product,1,The Black Keys,Oceans and Streams,blues,Lauryn Hill,Interlude 5,r&b/soul,2328.0
raw inner product,2,The Black Keys,Oceans and Streams,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2215.0
raw inner product,3,The Black Keys,Oceans and Streams,blues,Eminem,8 Mile,hip hop,1918.0
raw inner product,1,The Black Keys,10 A.M. Automatic,blues,Lauryn Hill,Interlude 5,r&b/soul,1913.0
raw inner product,2,The Black Keys,10 A.M. Automatic,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1790.0
raw inner product,3,The Black Keys,10 A.M. Automatic,blues,Michael Jackson,Man In The Mirror,pop,1585.0
raw inner product,1,The Black Keys,Aeroplane Blues,blues,Lauryn Hill,Interlude 5,r&b/soul,1486.0
raw inner product,2,The Black Keys,Aeroplane Blues,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1480.0
raw inner product,3,The Black Keys,Aeroplane Blues,blues,R. Kelly,I Mean (I Don't Mean It),r&b/soul,1471.0
raw inner product,1,The Black Keys,All Hands Against His Own,blues,Lauryn Hill,Interlude 5,r&b/soul,2681.0
raw inner product,2,The Black Keys,All Hands Against His Own,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1936.0
raw inner product,3,The Black Keys,All Hands Against His Own,blues,Michael Jackson,Man In The Mirror,pop,1542.0
raw inner product,1,The Black Keys,Black Door,blues,Kandi,I Wanna Know,r&b/soul,1868.0
raw inner product,2,The Black Keys,Black Door,blues,Lauryn Hill,Interlude 5,r&b/soul,1536.0
raw inner product,3,The Black Keys,Black Door,blues,Mario Vazquez,Everytime I...,r&b/soul,1227.0
raw inner product,1,The Black Keys,Busted,blues,Lauryn Hill,Interlude 5,r&b/soul,8737.0
raw inner product,2,The Black Keys,Busted,blues,Twista,I'm A Winner (Amended Album Version),hip hop,8094.0
raw inner product,3,The Black Keys,Busted,blues,Erykah Badu,I Want You,r&b/soul,6661.0
raw inner product,1,The Black Keys,Give Your Heart Away,blues,Lauryn Hill,Interlude 5,r&b/soul,1215.0
raw inner product,2,The Black Keys,Give Your Heart Away,blues,Michael Jackson,Man In The Mirror,pop,1196.0
raw inner product,3,The Black Keys,Give Your Heart Away,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1055.0
raw inner product,1,The Black Keys,Grown So Ugly,blues,Lauryn Hill,Interlude 5,r&b/soul,1853.0
raw inner product,2,The Black Keys,Grown So Ugly,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1496.0
raw inner product,3,The Black Keys,Grown So Ugly,blues,Eminem,My Darling,hip hop,1283.0
raw inner product,1,The Black Keys,Hard Row,blues,Lauryn Hill,Interlude 5,r&b/soul,2371.0
raw inner product,2,The Black Keys,Hard Row,blues,Twista,I'm A Winner (Amended Album Version),hip hop,2137.0
raw inner product,3,The Black Keys,Hard Row,blues,Michael Jackson,Man In The Mirror,pop,1713.0
raw inner product,1,The Black Keys,I Got Mine,blues,Mario Vazquez,Everytime I...,r&b/soul,2429.0
raw inner product,2,The Black Keys,I Got Mine,blues,Eminem,8 Mile,hip hop,2295.0
raw inner product,3,The Black Keys,I Got Mine,blues,Erykah Badu,I Want You,r&b/soul,2292.0
raw inner product,1,The Black Keys,If You See Me,blues,Twista,I'm A Winner (Amended Album Version),hip hop,2415.0
raw inner product,2,The Black Keys,If You See Me,blues,Lauryn Hill,Interlude 5,r&b/soul,2268.0
raw inner product,3,The Black Keys,If You See Me,blues,Erykah Badu,I Want You,r&b/soul,2044.0
raw inner product,1,The Black Keys,Lies,blues,Lauryn Hill,Interlude 5,r&b/soul,1825.0
raw inner product,2,The Black Keys,Lies,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1532.0
raw inner product,3,The Black Keys,Lies,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1506.0
raw inner product,1,The Black Keys,Next Girl,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2459.0
raw inner product,2,The Black Keys,Next Girl,blues,Calvin Harris,The Girls,electronic,2248.0
raw inner product,3,The Black Keys,Next Girl,blues,Eminem,8 Mile,hip hop,2121.0
